,Title,Year,Genre,Rating,Votes
0,Sunghursh,2013,"Action,Crime,Drama",7.0,77
1,One Day Before the Rainy Season,2019,"Biography,Drama",7.2,43
2,The Other Side of the Wind,2018,Drama,6.9,4517
3,Sabse Bada Sukh,2018,"Comedy,Drama",6.1,13
4,The Wandering Soap Opera,2017,"Comedy,Drama,Fantasy",6.5,119
5,Bigfoot,2017,"Horror,Thriller",4.1,32
6,Joe Finds Grace,2017,"Adventure,Animation,Comedy",8.1,263
7,Pál Adrienn,2010,Drama,6.8,451
8,So Much for Justice!,2010,History,4.6,64
9,Cooper and Hemingway: The True Gen,2013,Documentary,7.6,53
10,Children of the Green Dragon,2010,Drama,6.9,120
11,T.G.M. - osvoboditel,2018,Documentary,7.5,6
12,The Tragedy of Man,2011,"Animation,Drama,History",7.8,584
13,Heaven & Hell,2018,Drama,4.0,72
14,The Final Journey,2010,Drama,8.8,8
15,Los pájaros se van con la muerte,2011,"Drama,Mystery",4.0,12
16,Foodfight!,2012,"Action,Animation,Comedy",1.9,8248
17,Godfather,2012,"Crime,Drama",6.7,236
19,Return to Babylon,2013,"Biography,Comedy,Drama",5.9,123
20,Akakis mogzauroba,2012,Documentary,7.8,22
21,On kadin,2019,Drama,7.1,100
22,To Chase a Million,2018,"Action,Drama",7.4,5
23,Prague: The Restless Heart of Europe,2018,"Documentary,History",7.0,31
24,Short Time Heroes,2015,Sci-Fi,6.6,16
25,Life's a Beach,2012,Comedy,3.9,219
26,Abolição,2019,Documentary,7.4,35
27,Dark Blood,2012,Thriller,6.6,1053
28,Snowblind,2015,"Crime,Drama",6.7,77
30,Quantum Quest: A Cassini Space Odyssey,2010,"Adventure,Animation,Sci-Fi",5.1,287
31,Wazir,2016,"Action,Crime,Drama",7.1,15378
32,The Wicker Tree,2011,"Drama,Horror",3.9,2328
34,In My Sleep,2010,"Drama,Mystery,Thriller",5.5,1889
35,My Land,2018,"Drama,Family",7.9,61
36,Rice Girl,2014,"Adventure,Comedy,Romance",6.1,73
39,This Wretched Life,2010,"Comedy,Drama",7.6,59
40,Bunyan and Babe,2017,"Adventure,Animation,Comedy",5.0,302
41,On the Road,2012,"Adventure,Drama,Romance",6.1,37886
42,Blind Sided,2010,"Comedy,Crime,Drama",7.4,14
43,Chatô - The King of Brazil,2015,Biography,6.0,558
44,The Evil Within,2017,Horror,5.6,2420
45,Transeúntes,2015,"Comedy,Drama",6.7,35
46,Haar Jeet,2018,Drama,5.1,9
47,The Secret Life of Walter Mitty,2013,"Adventure,Comedy,Drama",7.3,275300
48,Fahrenheit 451,2018,"Drama,Sci-Fi,Thriller",4.9,14469
49,Aman Ke Farishtey,2016,Action,6.4,16
50,Nappily Ever After,2018,"Comedy,Drama,Romance",6.4,6287
51,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,105116
52,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,539338
53,Spy,2011,"Action,Crime,Drama",6.6,78
54,The Rum Diary,2011,"Comedy,Drama",6.2,94787
55,American Pastoral,2016,"Crime,Drama",6.1,12898
56,Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",6.0,49550
57,Cloud Cuckoo Land,2012,Drama,7.6,23
58,The Three Stooges,2012,"Comedy,Family",5.1,28570
59,Anderson's Cross,2010,"Comedy,Drama,Romance",5.5,106
60,Den milde smerte,2010,Drama,7.8,6
61,Tangled,2010,"Adventure,Animation,Comedy",7.8,366366
62,The Connecticut Kid,2011,Adventure,7.9,18
63,John Carter,2012,"Action,Adventure,Sci-Fi",6.6,241792
64,Burnt by the Sun 2,2010,"Drama,History,War",4.1,3907
65,Action Jackson,2014,"Action,Thriller",3.3,2862
66,Gambit,2012,"Comedy,Crime",5.7,22148
67,Bubbles,2011,Drama,8.6,18
68,Seven Fallen Objects,2011,"Comedy,Drama",6.5,6
69,In Secret,2013,"Crime,Drama,Thriller",6.2,7045
70,Cowboys & Aliens,2011,"Action,Sci-Fi,Thriller",6.0,195889
71,Tekken,2010,"Action,Crime,Drama",4.8,24913
72,Asleep in the Sun,2010,Fantasy,6.4,80
73,Hempsters: Plant the Seed,2010,Documentary,7.5,107
74,Disconnect,2010,"Drama,Mystery,Sci-Fi",4.5,190
75,The Stanford Prison Experiment,2015,"Biography,Drama,History",6.9,32591
76,Venus & Vegas,2010,"Action,Comedy,Crime",4.2,468
77,The Ninth Cloud,2014,Drama,6.2,56
78,El borde del tiempo,2011,Drama,6.2,6
79,Pots and Pans,2012,Drama,6.0,13
80,Dinner for Schmucks,2010,Comedy,5.9,91546
81,A Million Little Pieces,2018,Drama,7.6,120
82,The A-Team,2010,"Action,Adventure,Thriller",6.8,235256
83,The Rescuer,2011,Documentary,8.7,14
84,The Possession,2012,"Horror,Mystery,Thriller",5.9,53649
85,The Queen of Sheba Meets the Atom Man,2018,Comedy,7.1,47
86,Real Steel,2011,"Action,Drama,Family",7.1,283534
87,Satin,2011,"Comedy,Drama,Music",4.7,214
88,Caleuche: El llamado del Mar,2012,"Drama,Fantasy,Horror",5.2,168
89,L'apocalisse delle scimmie,2012,Drama,6.9,11
90,The Giver,2014,"Drama,Romance,Sci-Fi",6.5,104999
91,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,682218
92,Mexican Devil,2010,"Horror,Thriller",6.7,34
93,A Life in the Death of Joe Meek,2013,Documentary,9.1,24
94,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.5,88207
95,Moving Target,2011,"Drama,Thriller",7.5,26
96,Segurança Nacional,2010,Action,3.3,260
97,My Nappy Roots: A Journey Through Black Hair-itage,2010,Documentary,7.3,16
98,Lincoln,2012,"Biography,Drama,History",7.4,228701
99,Milenge Milenge,2010,"Drama,Romance",4.1,1571
100,Before We Go,2014,"Comedy,Drama,Romance",6.8,45181
101,The History of Love,2016,"Drama,Romance,War",6.3,1024
102,Vidas pequeñas,2010,Drama,6.0,68
103,7 Days,2010,"Crime,Drama,Horror",6.5,6705
104,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy",7.5,339338
105,Dream Street,2010,Drama,5.1,17
106,Surviving in L.A.,2019,"Comedy,Drama,Romance",8.7,12
107,A Bird of the Air,2011,"Drama,Romance",6.6,1061
108,Shazam!,2019,"Action,Adventure,Comedy",7.4,109051
109,Puss in Boots,2011,"Action,Adventure,Animation",6.6,133355
110,Diary of a Bad Lad,2010,"Comedy,Crime",4.0,144
111,Mad World,2010,Drama,6.3,313
112,The Passing,2011,Horror,3.4,174
113,Clawed,2017,Horror,5.8,363
114,Wonder Woman,2017,"Action,Adventure,Fantasy",7.5,487527
115,Blunt Movie,2013,"Comedy,Romance",6.4,77
116,Party Crashers,2012,Comedy,5.4,907
117,42,2013,"Biography,Drama,Sport",7.5,77703
118,El hada buena - Una fábula peronista,2010,"Comedy,Drama,Sci-Fi",6.4,19
119,Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,535836
120,Being Flynn,2012,Drama,6.4,15780
121,The Crazies,2010,"Horror,Thriller",6.5,104465
122,The Equalizer,2014,"Action,Crime,Thriller",7.2,302302
123,Memorias del desarrollo,2010,Drama,7.0,58
124,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,668137
125,A Long Way Down,2014,"Comedy,Drama",6.4,29260
126,Sin City: A Dame to Kill For,2014,"Crime,Thriller",6.5,140666
127,Generation P,2011,"Comedy,Drama,Sci-Fi",6.8,3358
128,One Step Beyond: The True Story of Géraldine Fasnacht,2012,Documentary,8.5,26
129,Drunkboat,2010,Drama,4.9,555
130,The Grasslands,2011,Drama,8.6,17
131,The Only Living Boy in New York,2017,Drama,6.3,8727
132,Texxas Jam '78,2012,Documentary,8.5,8
133,Saving Private Perez,2011,"Adventure,Comedy,Western",6.0,1727
134,Steve Phoenix: The Untold Story,2012,Drama,5.5,18
135,High-Rise,2015,"Drama,Horror,Sci-Fi",5.6,33746
136,Satan Hates You,2010,Horror,4.6,205
137,Federal,2010,"Drama,Thriller",3.2,374
138,The Devil You Know,2013,"Mystery,Thriller",3.6,1470
139,"Guns, Drugs and Dirty Money",2010,"Action,Comedy,Crime",8.0,39
140,House at the End of the Drive,2014,"Horror,Thriller",6.5,331
141,Piranha 3D,2010,"Comedy,Horror",5.4,81327
142,Komaram Puli,2010,"Action,Crime,Thriller",3.8,1423
143,Act Your Age,2011,"Comedy,Drama",6.5,85
144,Taken by Force,2010,"Action,Drama",7.8,33
145,Golapi Ekhon Bilatey,2010,Musical,7.8,25
146,Margaret,2011,Drama,6.5,14708
147,Alan Partridge,2013,"Action,Comedy,Crime",6.9,27986
148,Harlem Hostel,2010,"Comedy,Drama",4.1,128
149,Smoking/Non-Smoking,2011,Drama,7.2,88
150,Platinum Illusions,2011,"Action,Drama",6.6,31
151,Ex Machina,2014,"Drama,Mystery,Sci-Fi",7.7,424542
152,"Hot Country, Cold Winter",2016,Drama,4.0,62
153,Tower Heist,2011,"Action,Comedy,Crime",6.2,125102
154,The Smurfs,2011,"Adventure,Animation,Comedy",5.5,77577
155,The Mechanic,2011,"Action,Crime,Thriller",6.6,141254
156,Prince of Persia: The Sands of Time,2010,"Action,Adventure,Fantasy",6.6,254975
157,Stan,2011,Comedy,8.8,27
158,Bamboo Shark,2011,Comedy,6.4,55
159,Cielito lindo,2010,"Drama,Thriller",6.9,35
160,Clutch,2012,"Action,Drama",7.9,23
161,"Hail, Caesar!",2016,"Comedy,Drama,Music",6.3,111422
162,Stiffs,2010,Comedy,7.3,64
163,Unstoppable,2010,"Action,Thriller",6.8,173019
164,Extremely Loud & Incredibly Close,2011,"Adventure,Drama,Mystery",6.9,93164
165,The Tree of Life,2011,"Drama,Fantasy",6.8,156266
166,El horror de la dama del lago,2010,"Fantasy,Horror,Thriller",6.2,10
167,Ant-Man,2015,"Action,Adventure,Comedy",7.3,501213
168,The Greater Meaning of Water,2010,"Drama,Sport",6.5,40
169,Perfect Life,2010,"Horror,Thriller",4.3,399
170,Season of the Witch,2011,"Action,Adventure,Fantasy",5.4,85777
